#{"t_start": 1710660826.368096, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,23,1.246434
0.0,26,7.644448
1.0,71,8.139776
0.0,31,8.346056
0.0,25,8.505171
0.0,23,8.658789
0.0,26,8.829138
1.0,74,9.311274
0.0,27,9.480216
1.0,59,9.852406
2.0,119,10.594235
0.0,26,10.765635
0.0,29,10.949009
0.0,32,21.387245
0.0,33,21.594542
0.0,23,21.756903
1.0,69,22.182181
0.0,27,22.346215
0.0,27,22.50519
0.0,25,22.65973
0.0,23,22.807937
0.0,26,22.966373
0.0,27,23.132945
0.0,25,23.281097
2.0,98,23.88637
1.0,69,24.335087
0.0,32,24.52816
0.0,30,24.712016
0.0,28,24.893966
0.0,28,25.070319
0.0,23,25.221852
0.0,28,25.405066
0.0,25,25.555826
0.0,25,25.708513
2.0,121,26.502416
1.0,70,26.960033
0.0,27,27.128511
1.0,54,27.481149
0.0,26,27.673986
0.0,27,27.840655
0.0,23,27.990577
0.0,23,28.134634
0.0,26,28.293084
0.0,25,28.449692
0.0,25,28.605597
0.0,23,28.760119
1.0,73,29.224172
0.0,26,29.387137
0.0,25,29.553454
1.0,54,29.888365
0.0,23,30.042544
0.0,23,30.188779
0.0,23,30.326761
0.0,26,30.508448
0.0,30,47.373865
0.0,23,47.530958
0.0,29,47.720332
0.0,25,47.893623
1.0,57,48.289342
0.0,23,48.434475
0.0,23,48.590443
2.0,122,49.388408
0.0,25,49.54256
0.0,25,49.711274
0.0,23,49.865195
0.0,23,50.016203
0.0,28,50.194333
0.0,28,50.374185
0.0,23,50.518544
0.0,28,50.696555
0.0,23,50.863505
0.0,30,51.072811
0.0,33,51.284084
0.0,28,51.468382
0.0,36,51.694735
0.0,23,51.849348
0.0,39,52.107167
0.0,23,52.249162
0.0,26,52.407595
0.0,27,52.579295
3.0,147,53.603467
0.0,26,53.793633
0.0,25,53.957219
0.0,23,54.10679
0.0,25,54.268115
0.0,23,54.429902
0.0,23,54.576522
0.0,23,54.732177
